MATCHNUMBAT,BATTINGTEAM,BATTINGPOSITION,BATSMANNAME,BATSMANURL,RUNSSCORED,BALLSFACED,NUMBEROFFORES,NUMBEROFSIX,STRIKERATE
1,Namibia,1,"Michael van Lingen","https://www.espncricinfo.com/cricketers/michael-van-lingen-833777",3,6,0,0,50.0000
1,Namibia,2,"Divan la Cock","https://www.espncricinfo.com/cricketers/divan-la-cock-1178065",9,9,1,0,100.0000
1,Namibia,3,"Jan Nicol Loftie-Eaton","https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473",20,12,1,2,166.6600
1,Namibia,4,"Stephan Baard","https://www.espncricinfo.com/cricketers/stephan-baard-437927",26,24,2,0,108.3300
1,Namibia,5,"Gerhard Erasmus(c)","https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070",20,24,0,0,83.3300
1,Namibia,6,"Jan Frylinck","https://www.espncricinfo.com/cricketers/jan-frylinck-482478",44,28,4,0,157.1400
1,Namibia,7,"David Wiese","https://www.espncricinfo.com/cricketers/david-wiese-221140",0,1,0,0,0.0000
1,Namibia,8,"JJ Smit","https://www.espncricinfo.com/cricketers/jj-smit-553821",31,16,2,2,193.7500
1,"Sri Lanka",1,"Pathum Nissanka","https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655",9,10,1,0,90.0000
1,"Sri Lanka",2,"Kusal Mendis†","https://www.espncricinfo.com/cricketers/kusal-mendis-629074",6,6,0,0,100.0000
1,"Sri Lanka",3,"Dhananjaya de Silva","https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793",12,11,1,0,109.0900
1,"Sri Lanka",4,"Danushka Gunathilaka","https://www.espncricinfo.com/cricketers/danushka-gunathilaka-345821",0,1,0,0,0.0000
1,"Sri Lanka",5,"Bhanuka Rajapaksa","https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619",20,21,2,0,95.2300
1,"Sri Lanka",6,"Dasun Shanaka(c)","https://www.espncricinfo.com/cricketers/dasun-shanaka-437316",29,23,2,1,126.0800
1,"Sri Lanka",7,"Wanindu Hasaranga","https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379",4,8,0,0,50.0000
1,"Sri Lanka",8,"Chamika Karunaratne","https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695",5,8,0,0,62.5000
1,"Sri Lanka",9,"Pramod Madushan","https://www.espncricinfo.com/cricketers/pramod-madushan-826689",0,0,0,0,0.0000
1,"Sri Lanka",10,"Dushmantha Chameera","https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152",8,15,0,0,53.3300
1,"Sri Lanka",11,"Maheesh Theekshana","https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316",11,11,0,1,100.0000
2,"United Arab Emirates",1,"Chirag Suri","https://www.espncricinfo.com/cricketers/chirag-suri-534734",12,20,1,0,60.0000
2,"United Arab Emirates",2,"Muhammad Waseem","https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277",41,47,1,2,87.2300
2,"United Arab Emirates",3,"Kashif Daud","https://www.espncricinfo.com/cricketers/kashif-daud-229225",15,14,0,1,107.1400
2,"United Arab Emirates",4,"Vriitya Aravind†","https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586",18,21,0,0,85.7100
2,"United Arab Emirates",5,"Zawar Farid","https://www.espncricinfo.com/cricketers/zawar-farid-1196500",2,4,0,0,50.0000
2,"United Arab Emirates",6,"Basil Hameed","https://www.espncricinfo.com/cricketers/basil-hameed-1209110",4,4,1,0,100.0000
2,"United Arab Emirates",7,"CP Rizwan(c)","https://www.espncricinfo.com/cricketers/cp-rizwan-474760",1,2,0,0,50.0000
2,"United Arab Emirates",8,"Aayan Afzal Khan","https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265",5,7,0,0,71.4200
2,"United Arab Emirates",9,"Karthik Meiyappan","https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987",0,0,0,0,0.0000
2,"United Arab Emirates",10,"Junaid Siddique","https://www.espncricinfo.com/cricketers/junaid-siddique-1203754",0,1,0,0,0.0000
2,Netherlands,1,"Vikramjit Singh","https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767",10,7,2,0,142.8500
2,Netherlands,2,"Max O'Dowd","https://www.espncricinfo.com/cricketers/max-o-dowd-643197",23,18,3,1,127.7700
2,Netherlands,3,"Bas de Leede","https://www.espncricinfo.com/cricketers/bas-de-leede-1036191",14,18,1,0,77.7700
2,Netherlands,4,"Colin Ackermann","https://www.espncricinfo.com/cricketers/colin-ackermann-379774",17,19,1,0,89.4700
2,Netherlands,5,"Tom Cooper","https://www.espncricinfo.com/cricketers/tom-cooper-219885",8,16,0,0,50.0000
2,Netherlands,6,"Scott Edwards(c)†","https://www.espncricinfo.com/cricketers/scott-edwards-1127317",16,19,0,0,84.2100
2,Netherlands,7,"Roelof van der Merwe","https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850",0,2,0,0,0.0000
2,Netherlands,8,"Tim Pringle","https://www.espncricinfo.com/cricketers/tim-pringle-1193548",15,16,0,0,93.7500
2,Netherlands,9,"Logan van Beek","https://www.espncricinfo.com/cricketers/logan-van-beek-440522",4,4,0,0,100.0000
3,Scotland,1,"George Munsey","https://www.espncricinfo.com/cricketers/george-munsey-671805",66,53,9,0,124.5200
3,Scotland,2,"Michael Jones","https://www.espncricinfo.com/cricketers/michael-jones-1093091",20,17,3,0,117.6400
3,Scotland,3,"Matthew Cross†","https://www.espncricinfo.com/cricketers/matthew-cross-417268",3,5,0,0,60.0000
3,Scotland,4,"Richie Berrington(c)","https://www.espncricinfo.com/cricketers/richie-berrington-25490",16,14,0,1,114.2800
3,Scotland,5,"Calum MacLeod","https://www.espncricinfo.com/cricketers/calum-macleod-232435",23,14,4,0,164.2800
3,Scotland,6,"Michael Leask","https://www.espncricinfo.com/cricketers/michael-leask-414966",4,6,0,0,66.6600
