MATCHNUMBOWL,BOWLERNAME,BOWLERURL,BOWLINGTEAM,NUMBEROVERS,MADEINOVERS,RUNSGIVEN,WICKETSTAKEN,ECONAMY,DOTBALLS,FOURGIVEN,SIXESGIVEN,NOBALLSGIVEN
1,"Maheesh Theekshana","https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316","Sri Lanka",4,0,23,1,6,7,0,0,0
1,"Dushmantha Chameera","https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152","Sri Lanka",4,0,39,1,10,6,3,1,0
1,"Pramod Madushan","https://www.espncricinfo.com/cricketers/pramod-madushan-826689","Sri Lanka",4,0,37,2,9,6,3,1,0
1,"Chamika Karunaratne","https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695","Sri Lanka",4,0,36,1,9,7,3,1,0
1,"Wanindu Hasaranga","https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379","Sri Lanka",4,0,27,1,7,8,1,1,0
1,"Gerhard Erasmus","https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070",Namibia,1,0,8,0,8,1,1,0,0
1,"David Wiese","https://www.espncricinfo.com/cricketers/david-wiese-221140",Namibia,4,0,16,2,4,13,1,0,0
1,"Bernard Scholtz","https://www.espncricinfo.com/cricketers/bernard-scholtz-330223",Namibia,4,0,18,2,5,10,1,0,0
1,"Ben Shikongo","https://www.espncricinfo.com/cricketers/ben-shikongo-1069820",Namibia,3,1,22,2,7,6,3,0,0
1,"JJ Smit","https://www.espncricinfo.com/cricketers/jj-smit-553821",Namibia,3,0,16,1,5,7,0,0,0
1,"Jan Frylinck","https://www.espncricinfo.com/cricketers/jan-frylinck-482478",Namibia,4,0,26,2,7,10,0,2,0
2,"Fred Klaassen","https://www.espncricinfo.com/cricketers/fred-klaassen-1104703",Netherlands,4,0,13,2,3,18,0,0,0
2,"Tim Pringle","https://www.espncricinfo.com/cricketers/tim-pringle-1193548",Netherlands,4,0,13,1,3,11,0,0,0
2,"Logan van Beek","https://www.espncricinfo.com/cricketers/logan-van-beek-440522",Netherlands,2,0,19,0,10,5,0,2,0
2,"Bas de Leede","https://www.espncricinfo.com/cricketers/bas-de-leede-1036191",Netherlands,3,0,19,3,6,9,2,0,0
2,"Paul van Meekeren","https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109",Netherlands,4,0,21,0,5,11,1,0,0
2,"Roelof van der Merwe","https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850",Netherlands,3,0,19,1,6,7,0,1,0
2,"Junaid Siddique","https://www.espncricinfo.com/cricketers/junaid-siddique-1203754","United Arab Emirates",4,0,24,3,6,10,2,0,0
2,"Basil Hameed","https://www.espncricinfo.com/cricketers/basil-hameed-1209110","United Arab Emirates",1,0,7,1,7,4,0,1,0
2,"Aayan Afzal Khan","https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265","United Arab Emirates",3,0,15,1,5,8,1,0,0
2,"Karthik Meiyappan","https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987","United Arab Emirates",4,0,22,1,6,11,2,0,0
2,"Zahoor Khan","https://www.espncricinfo.com/cricketers/zahoor-khan-384525","United Arab Emirates",4,0,11,1,3,14,0,0,0
2,"Zawar Farid","https://www.espncricinfo.com/cricketers/zawar-farid-1196500","United Arab Emirates",3,0,24,0,8,2,2,0,0
2,"Kashif Daud","https://www.espncricinfo.com/cricketers/kashif-daud-229225","United Arab Emirates",1,0,5,0,5,1,0,0,0
3,"Kyle Mayers","https://www.espncricinfo.com/cricketers/kyle-mayers-348056","West Indies",2,0,24,0,12,5,5,0,0
3,"Akeal Hosein","https://www.espncricinfo.com/cricketers/akeal-hosein-530812","West Indies",4,0,31,0,8,8,2,1,0
3,"Alzarri Joseph","https://www.espncricinfo.com/cricketers/alzarri-joseph-670031","West Indies",4,0,28,2,7,9,3,0,0
3,"Obed McCoy","https://www.espncricinfo.com/cricketers/obed-mccoy-906783","West Indies",3,0,25,0,8,6,4,0,0
3,"Jason Holder","https://www.espncricinfo.com/cricketers/jason-holder-391485","West Indies",3,0,14,2,5,8,1,0,0
3,"Odean Smith","https://www.espncricinfo.com/cricketers/odean-smith-820691","West Indies",4,0,31,1,8,6,3,0,0
3,"Mark Watt","https://www.espncricinfo.com/cricketers/mark-watt-659081",Scotland,4,0,12,3,3,16,1,0,0
3,"Brad Wheal","https://www.espncricinfo.com/cricketers/brad-wheal-807535",Scotland,4,0,32,2,8,10,4,1,0
3,"Josh Davey","https://www.espncricinfo.com/cricketers/josh-davey-407265",Scotland,3,0,34,1,11,8,4,2,0
3,"Safyaan Sharif","https://www.espncricinfo.com/cricketers/safyaan-sharif-414970",Scotland,3,0,23,1,7,7,2,0,0
3,"Michael Leask","https://www.espncricinfo.com/cricketers/michael-leask-414966",Scotland,4,0,15,2,4,11,0,0,0
