PLAYERNAME,PLAYERCOUNTRY,BATTINGSTYLE,BOWLINGSTYLE,PLAYINGROLE,IMAGEURL,PLAYERURL
"Michael van Lingen",Namibia,"Left hand Bat","Left arm Medium","Bowling Allrounder",,"https://www.espncricinfo.com/cricketers/michael-van-lingen-833777"
"Jan Nicol Loftie-Eaton",Namibia,"Left hand Bat","Right arm Medium","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473"
"Zawar Farid","United Arab Emirates","Right hand Bat","Right arm Medium",Bowler,,"https://www.espncricinfo.com/cricketers/zawar-farid-1196500"
"Pat Cummins",Australia,"Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/pat-cummins-489889"
"Taskin Ahmed",Bangladesh,"Left hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/taskin-ahmed-538506"
"Mitchell Starc",Australia,"Left hand Bat","Left arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/mitchell-starc-311592"
"Shaheen Shah Afridi",Pakistan,"Left hand Bat","Left arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470"
"Suryakumar Yadav",India,"Right hand Bat","Right arm Medium",Batter,,"https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507"
"Mohammed Shami",India,"Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/mohammed-shami-481896"
"Harry Brook",England,"Right hand Bat","Right arm Medium",Batter,,"https://www.espncricinfo.com/cricketers/harry-brook-911707"
"Liam Livingstone",England,"Right hand Bat","Right arm Spin","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/liam-livingstone-403902"
"Sikandar Raza",Zimbabwe,"Right hand Bat","Right arm Spin","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/sikandar-raza-299572"
"Alzarri Joseph","West Indies","Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/alzarri-joseph-670031"
"Ruben Trumpelmann",Namibia,"Right hand Bat","Left arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317"
"Dushmantha Chameera","Sri Lanka","Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152"
"Fionn Hand",Ireland,"Right hand Bat","Right arm Medium","Bowling Allrounder",,"https://www.espncricinfo.com/cricketers/fionn-hand-1099225"
"Kagiso Rabada","South Africa","Left hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/kagiso-rabada-550215"
"Marcus Stoinis",Australia,"Right hand Bat","Right arm Medium","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/marcus-stoinis-325012"
"Bhuvneshwar Kumar",India,"Right hand Bat","Right arm Medium",Bowler,,"https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016"
"Tabraiz Shamsi","South Africa","Right hand Bat","Left arm Spin",Bowler,,"https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145"
"Kyle Mayers","West Indies","Left hand Bat","Right arm Medium","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/kyle-mayers-348056"
"Haris Rauf",Pakistan,"Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/haris-rauf-1161606"
"Simi Singh",Ireland,"Right hand Bat","Right arm Spin","Bowling Allrounder",,"https://www.espncricinfo.com/cricketers/simi-singh-1005257"
"Shariz Ahmad",Netherlands,"Left hand Bat","Right arm Spin",Bowler,,"https://www.espncricinfo.com/cricketers/shariz-ahmad-1278252"
"Rashid Khan",Afghanistan,"Right hand Bat","Right arm Spin","Bowling Allrounder",,"https://www.espncricinfo.com/cricketers/rashid-khan-793463"
"Adam Zampa",Australia,"Right hand Bat","Right arm Spin",Bowler,,"https://www.espncricinfo.com/cricketers/adam-zampa-379504"
"Gareth Delany",Ireland,"Right hand Bat","Right arm Spin","Batting Allrounder",,"https://www.espncricinfo.com/cricketers/gareth-delany-1099379"
"Anrich Nortje","South Africa","Right hand Bat","Right arm Fast",Bowler,,"https://www.espncricinfo.com/cricketers/anrich-nortje-481979"
"Mitchell Marsh",Australia,"Right hand Bat","Right arm Medium",Allrounder,,"https://www.espncricinfo.com/cricketers/mitchell-marsh-272450"
"Brad Evans",Zimbabwe,"Right hand Bat","Right arm Fast",Allrounder,,"https://www.espncricinfo.com/cricketers/brad-evans-696127"
